Serial,SID,Time,Draft,IP Address,UID,Username,Given Name,Family name,E-mail,Phone,Phone (alternate),Gender,Gender (please specify),Birth year ,Preference of student mentee gender,24-Sep,25-Sep,2-Oct,Additional comments re availability,Working in industry,Working in academia,Working for a startup,Self-employed,Retired,Other (please specify),Employment status (other),Current employer,Current job title,Years of CS-related work experience,Highest level of education,Education (other),CS areas of interest,Hobbies and interests,CS Alumni/ae,Additional questions or comments
61,497,2014/08/14 - 6:07pm,0,,,,Edward,Chen,Chen.Edward@smile.dm,778-5098989,778-9348158,Identify as male,,1976,No preference,Second Choice,Third Choice,First Choice,,X,,,X,,X,Owner of a small (1-3 people) company (not a startup),Graphmaxx,Owner and main developer,3-5 years,Master's,,"Computer graphics, computer vision, machine learning, HCI","Photography, hiking, traveling",X,I am an independent developer of iOS mobile apps and would be interested in being paired up with a student interested in this (or a very closely related) career path. 
1,309,2014/07/30 - 5:10pm,0,,,,Elaine,Lindberg,Lindberg.Elaine@smile.dm,778-7038294,,Identify as female,,,No preference,Not Avail.,Not Avail.,First Choice,,X,,,,,,,BC Centre for Disease Control,Sr. Business Analyst,6-10 years,Bachelor's,,,,X,
65,554,2014/08/18 - 5:27pm,0,,,,Elliot,Percy,Percy.Elliot@smile.dm,778-8562906,778-5096240,Identify as male,,1979,No preference,Not Avail.,First Choice,Second Choice,"I have 2 kids, but work mostly out of home now - so availability is generally at night 7 days a week.",X,,X,X,,,,Self employed,Web Developer,16-20 years,Bachelor's,,Internet technologies and web application development,"Fitness, hockey, reading, business.",X,"I work for myself, but I also work in several biotechnology startups in operations and technology. I would prefer to be matched with a student who is interested in Internet/web development, because that is my area of expertise."
5,313,2014/07/30 - 6:00pm,0,,,,Emile,Thiers,Thiers.Emile@smile.dm,604-3667320,778-7377446,Identify as male,,1984,No preference,First Choice,First Choice,Not Avail.,,,X,,,,,,University of Victoria,Assistant Professor,6-10 years,PhD,,"distrbuted systems, opearting systems, networks, software engineering","tennis, volleyball, bicycling, board games",,
12,321,2014/07/30 - 9:42pm,0,,,,Emily,Murray,Murray.Emily@smile.dm,778-4618874,,Identify as female,,1977,No preference,Second Choice,First Choice,Not Avail.,,X,,,,,,,NRT Testing,Regional VP Delivery,6-10 years,PhD,,Software testing,"Running, mountain biking, knitting, juggling",,
41,413,2014/08/04 - 10:06pm,0,,,,Ernest,Ahn,Ahn.Ernest@smile.dm,604-8829098,,Identify as male,,1961,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,DigiBusiness Solutions,Project Manager,20+ years,Bachelor's,,"Business Intelligence, Big Data, Integrated Applications / systems, System Analysis","Running, Reading, Opera, Jazz, Art",X,
3,311,2014/07/30 - 5:17pm,0,,,,Eugene,Kwon,Kwon.Eugene@smile.dm,604-8626490,,Identify as male,,1974,No preference,Second Choice,First Choice,Third Choice,Will be out of the country from October 9 to October 24.,X,,,,,,,Learning Mart Inc.,Product Manager,11-15 years,Bachelor's,,"software engineering, databases, agile, UML, structure / behaviour diagrams, use case diagrams, use cases, requirements analysis, product backlog, SCRUM, kanban, SQL, Java, C#, user stories, acceptance criteria","snowboarding, cycling, windsurfing, sailing",X,
73,563,2014/08/19 - 8:36am,0,,,,Evan,Clark,Clark.Evan@smile.dm,604-8851567,,Identify as male,,1966,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,Codeco,Development Manager,20+ years,Bachelor's,,"Big Data, High Availability, Java, SaaS",,,
79,579,2014/08/21 - 4:12pm,0,,,,Felix,Dunn,Dunn.Felix@smile.dm,778-2531115,,Identify as male,,1978,No preference,First Choice,Third Choice,Second Choice,,X,,,,,,,Microsoft,Software Development Engineer,11-15 years,Bachelor's,,"generalist, UX","motorcycles, snowboarding, hiking, cross-fit",X,
28,340,2014/07/31 - 8:41pm,0,,,,Florence,Dee,Dee.Florence@smile.dm,778-9209993,,Identify as female,,,No preference,Not Avail.,Second Choice,First Choice,,X,,X,,,,,Carebook Health,QA contractor,3-5 years,Bachelor's,,"QA, healthcare, nonprofit",,X,
100,684,2014/09/19 - 12:10pm,0,,,,Frank,Tiu,Tiu.Frank@smile.dm,778-3279889,,Identify as male,,1980,No preference,Third Choice,First Choice,Second Choice,,X,,,X,,,,Aritzia Canada,Senior Software Consultant,6-10 years,Bachelor's,,"Enterprise and Application Architecture, Object Oriented Design Principles and Patterns, Agile and Lean Development Methodoligies, Machine Learning
","Volleyball, Sailing, Camping, Strategy and Simulation games, Board and Social games, Reading about Technology; Economics; Personal Finances; Business; Biographies",X,
38,396,2014/08/02 - 11:45pm,0,,,,Fred   ,He,He.Fred@smile.dm,778-7340053,604-6584158,Identify as male,,,No preference,Not Avail.,Second Choice,First Choice,,X,,,,,,,Microsoft ,Software engineer,0-2 years,Bachelor's,,"Data-Mining, Distributed-Systems, Security, Networking, OS",Gaming,X,
17,326,2014/07/31 - 8:31am,0,,,,Gabriel,Cherney,Cherney.Gabriel@smile.dm,778-2741763,778-6520662,Identify as male,,,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,Microsoft Canada,Software Development Engineer in Test,3-5 years,Bachelor's,,Performance engineering,,X,
91,655,2014/09/03 - 9:26am,0,,,,Gauthier,Lavigne,Lavigne.Gauthier@smile.dm,778-9240249,604-7093580,Identify as male,,1965,No preference,First Choice,Second Choice,Third Choice,Any of these dates is fine.,X,,,,,,,Fortinet,SW Engineering Manager,20+ years,Bachelor's,,"Embedded Software, Video Software, Process Control","Biking, Hiking, Xcountry Skiing.",X,
55,471,2014/08/11 - 11:52am,0,,,,Geoff  ,Javadi,Javadi.Geoff  @smile.dm,778-4615345,,Identify as male,,1977,No preference,Not Avail.,Not Avail.,Not Avail.,Live in Seattle and pretty busy this fall (moving + new baby) so I don't think I can make it to Vancouver. Last year my student came down to Seattle once which worked well. We can also use Skype or whatever.,X,,X,,,,,Cumulate,Member of Technical Stuaff,6-10 years,PhD,,"Security (authentication and access control), Data Storage, Cloud Computing, Programming Languages","Cycling, hiking, reading/writing fiction, sailing, music, good food",X,
78,576,2014/08/20 - 6:53pm,0,,,,Georgina,Nolan,Nolan.Georgina@smile.dm,778-2900364,,Identify as female,,1982,No preference,First Choice,Second Choice,Third Choice,Probably arriving late at around 6.30 pm.  ,X,,,,,,,TELUS,performance analyst,3-5 years,Bachelor's,,,,X,
87,628,2014/08/28 - 4:42pm,0,,,,Gerald,Coughlin,Coughlin.Gerald@smile.dm,604-8323135,,Identify as male,,,No preference,Third Choice,First Choice,Second Choice,,X,,,,,,,ScotiaBank,Consultant,6-10 years,Master's,,"distributed systems
scalability
machine learning
big data",,X,
9,318,2014/07/30 - 7:36pm,0,,,,Gladys,Chang,Chang.Gladys@smile.dm,778-6964672,778-7090001,Identify as female,,1991,Match with female students only,First Choice,Second Choice,Third Choice,,X,,,,,,,Broadridge,Software Developer,0-2 years,Bachelor's,,"Software Design, AI, Machine learning, App development (iOS/Android), Web development, CS education","Running, Playing soccer, Listening to classical music, Watching movies, Binge-watching TV, Travelling ",X,
25,336,2014/07/31 - 1:09pm,0,,,,Gregory,Burk,Burk.Gregory@smile.dm,604-3769697,,Identify as male,,,No preference,Third Choice,Second Choice,First Choice,,,X,,,,,,PHSA,"Team Lead, IT Desktop Services",16-20 years,Bachelor's,,"Operating Systems, computer networking, various technology intergration","Technology, technology, technology. In that order :)",X,
76,568,2014/08/19 - 8:04pm,0,,,,Gui Fang,Sun,Sun.Guifang@smile.dm,250-3457727,,Identify as female,,1978,Match with female students only,Not Avail.,Not Avail.,First Choice,,X,,,,,,,Orbis Financial ,Systems Development Manager,11-15 years,Bachelor's,,"Automated testing, operational excellence, agile methodology","Golf, business and leadership development, talent management",X,
70,560,2014/08/18 - 11:03pm,0,,,,Guillaume,Pierpoint,Pierpoint.Guillaume@smile.dm,778-3725734,,Identify as male,,,Match with male students only,Not Avail.,Second Choice,First Choice,,X,,,,,,,SAP Canada,Director Engineering in Operations,20+ years,Bachelor's,,"LEAN, Agile, Business Intelligence, data integration, machine intelligence","curling, tennis, leadership development",X,
88,629,2014/08/28 - 4:44pm,0,,,,Gustave,Sorensen,Sorensen.Gustave@smile.dm,604-4823338,778-2762918,Identify as male,,1989,No preference,Second Choice,Second Choice,First Choice,,X,,X,,,,,A Thinking Ape,Software Engineering Lead,3-5 years,Bachelor's,,"Technology Startups, Programming Languages, Data Mining","Badminton, Jogging, League Of Legends, Reading, Game Of Thrones ",X,
26,337,2014/07/31 - 3:48pm,0,,,,Harley,Brien,Brien.Harley@smile.dm,604-8564870,,Identify as male,,1989,No preference,First Choice,First Choice,First Choice,No preference for which day.,X,,,,,,,Apple ,Software Engineer,3-5 years,Bachelor's,,"Web, Distributed Systems, PHP, JavaScript, Scala",,X,
90,648,2014/09/02 - 12:02pm,0,,,,Henry,Kim,Kim.Henry@smile.dm,604-9796637,,Identify as male,,,No preference,First Choice,Second Choice,Third Choice,,,,,X,,,,,President,3-5 years,Bachelor's,,"A.I., Machine Learning, Databases, software engineering, web technologies, mobile applications","Guitar, travelling, soccer, football, tennis, cooking, movies, reading, hiking",X,
77,574,2014/08/20 - 11:22am,0,,,,Hiroshi,Kimura,Kimura.Hiroshi@smile.dm,778-6471712,,Identify as male,,1983,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,TELUS,"Manager, Information Services",6-10 years,Bachelor's,,"middleware, database, java, j2ee, weblogic, oracle, application servers, telecom","Hockey, volleyball, curling, ultimate, camping, traveling",,
11,320,2014/07/30 - 9:09pm,0,,,,Howard,Campbell,Campbell.Howard@smile.dm,604-7675990,,Identify as male,,1981,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,Electronic Arts,Software Engineer,6-10 years,Bachelor's,,"Networking, online gaming, operating systems","Hockey, snowboarding, my kids",X,
21,330,2014/07/31 - 10:30am,0,,,,Issac,Bautista,Bautista.Issac@smile.dm,778-8612130,,Identify as male,,1983,No preference,Third Choice,First Choice,Second Choice,,X,,X,X,,,,MadSkillZ Gaming,Game Developer,6-10 years,Master's,,Game development,Game development,X,
40,398,2014/08/03 - 4:17am,0,,,,Ivan,Watson,Watson.Ivan@smile.dm,604-5553143,,Identify as male,,1976,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,Service Point Solutions,VP & COO,11-15 years,Bachelor's,,software development,"Computer games, chess",X,
97,679,2014/09/15 - 1:23pm,0,,,,Jane,Tsay,Tsay.Jane@smile.dm,778-8920920,,Identify as female,,1958,No preference,Third Choice,Second Choice,First Choice,,X,,,,,,,RBC Financial Systems,Senior Manager,20+ years,Bachelor's,,"agile methodology, scaled agile, program and project management","Reading, movies, gardening, ",,
83,615,2014/08/25 - 9:35pm,0,,,,Jean,Mignard,Mignard.Jean@smile.dm,604-9016594,,Identify as male,,1984,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,Electronic Arts Canada,Marketing Engineer,3-5 years,Bachelor's,,"Artificial Intelligence, Distributed Systems, Networking, Software Engineering","Video Games, Board Games, Table Top Miniature Games",X,
,,,,,,,Jeff,Cheung,jeff.h.cheung@gmail.com,6042905555,,Identify as male,,1988,No preference,Not Avail.,Second Choice,First Choice,,x,,,,,,,HootSuite,Software Engineer,3-5 years,Bachelor's,,"Native Application Development, Web Development, User Interface design, User Experience"," Music, Basketball,  Football, Food",X,
45,423,2014/08/05 - 4:33pm,0,,,,Jeremy,Lim,Lim.Jeremy@smile.dm,778-3176248,604-2863616,Identify as male,,1970,No preference,First Choice,First Choice,First Choice,,,,,X,,,,,Software Consultant,20+ years,PhD,,"Software Engineering, Compilers, Programming Languages, Networking, Project Management,","Tri-mentoring, traveling, volunteering, learning, eating, drinking (coffee).",X,
99,683,2014/09/18 - 12:16am,0,,,,Jerry,Yonge,Yonge.Jerry@smile.dm,604-7586978,604-8683788,Identify as male,,1989,Match with male students only,Third Choice,Second Choice,First Choice,For both Wed and Thurs I will have to leave early ~6:15pm,X,,,,,,,TELUS,Business Analyst,0-2 years,Bachelor's,,"Database, Business Intelligence, Big Data, requirements gathering, Human Computer Interaction, security","Theatre drama, board games, business, telecommunications, volunteering, martial arts, China, Panama, spirituality, Christianity",X,
64,553,2014/08/18 - 5:15pm,0,,,,Jessie,Sandman,Sandman.Jessie@smile.dm,778-2594602,,Identify as female,,1982,No preference,Not Avail.,Not Avail.,First Choice,,X,,,,,,,Electronic Arts,Software Engineer,6-10 years,Master's,,,,X,
62,504,2014/08/15 - 11:08am,0,,,,Jing,Zhang,Zhang.Jing@smile.dm,416-3833641,778-3529645,Identify as female,,1980,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,Electronic Arts Canada,Sofware Engineer 2,6-10 years,Bachelor's,,Artificial Intelligence,"Ultimate Frisbee, Crossfit, board games, kayaking, sailing, sculpting",X,
53,451,2014/08/08 - 7:15pm,0,,,,Jing Wei,Zhu,Zhu.Jing Wei@smile.dm,778-2141588,604-8176448,Identify as female,,,No preference,First Choice,First Choice,First Choice,,X,,,,,,,Amazon,SDE,0-2 years,Bachelor's,,"SaaS,cloud computing,software development","hiking,travelling,music,biking",X,
80,580,2014/08/21 - 5:27pm,0,,,,Joanna,Guo,Guo.Joanna@smile.dm,778-7010786,,Identify as female,,,No preference,Not Avail.,First Choice,Second Choice,,X,,,,,,,Avigilon,Product QA Engineer,3-5 years,Bachelor's,,"QA, Test automation","Snowboarding, violin",X,
72,562,2014/08/18 - 11:49pm,0,,,,Jordan,Stanton,Stanton.Jordan@smile.dm,778-5712469,,Identify as male,,,No preference,Not Avail.,Not Avail.,Not Avail.,"I am in California, US and will be a remote mentor",X,,,,,,,Apple ,Software Engineer,3-5 years,Master's,,"algorithm, application design and development, javascript and HTML5, big data, ideas","guitar, basketball, table tennis, bridge, chess, pool",X,"I am living in California US, I will be communicating with my mentee mainly remotely through skype, email or other means."
42,419,2014/08/05 - 10:48am,0,,,,Joseph,Munn,Munn.Joseph@smile.dm,778-5924481,,Identify as male,,1986,No preference,Third Choice,First Choice,Second Choice,,X,,,,,,,Amazon Vancouver,Software Development Engineer,3-5 years,Master's,,"Data mining, machine learning, artificial intelligence, data analysis, software engineering","Hiking, running, travelling, board games",X,
18,327,2014/07/31 - 9:11am,0,,,,Julia,Tsimshian,Tsimshian.Julia@smile.dm,778-6275955,,Identify as female,,1970,No preference,Third Choice,Second Choice,First Choice,,,X,,,,,,SFU,Professor,16-20 years,PhD,,HCI,"hiking, cycling",X,
22,331,2014/07/31 - 10:38am,0,,,,Julie,Belkin,Belkin.Julie@smile.dm,778-2836045,,Identify as female,,1978,No preference,Not Avail.,Not Avail.,Not Avail.,,,X,,,,,,UBC Multimedia Program,Instructor,11-15 years,Master's,,"HCI, CS Education","Baking, snowboarding",X,
34,365,2014/08/01 - 6:42pm,0,,,,Julien,Cornfeld,Cornfeld.Julien@smile.dm,778-8799411,,Identify as male,,1963,No preference,Third Choice,First Choice,Second Choice,,,X,,,,,,University of Alberta,Professor,20+ years,PhD,,"data mining, genomics, health informatics, text mining, natural language processing","sports, cello, photography",X,
13,322,2014/07/30 - 9:56pm,0,,,,Karim,Das,Das.Karim@smile.dm,778-4447334,,Identify as male,,1970,No preference,First Choice,Second Choice,Third Choice,"At this point, any of the listed dates will work.",X,,,,,,,SAP,"Manager, Customer Service",11-15 years,Bachelor's,,"Project Management, people management, process improvement","Photography, travel, and tea",X,
15,324,2014/07/30 - 11:08pm,0,,,,Karl,Young,Young.Karl@smile.dm,604-2800592,604-7474427,Identify as male,,,No preference,First Choice,Second Choice,Third Choice,May be travelling out of town for three weeks in that time.,X,,,,,,,SAP,VP of Engineering,11-15 years,Bachelor's,,"Web base computing, Enterprise Software, Cloud computing.","All sports, travel",X,
24,335,2014/07/31 - 11:14am,0,,,,Kevin,Chan,Chan.Kevin@smile.dm,778-2307018,,Identify as male,,1983,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,Biomatics Ltd.,Computer Systems Specialist,6-10 years,Bachelor's,,"Linux, High Performance Computing, Big Data, Genomics, System Administration","Judo, Martial Arts, Video Games, Role-playing Games, Board Games",X,
37,392,2014/08/02 - 5:21pm,0,,,,Kimberly,Celik,Celik.Kimberly@smile.dm,778-5749742,604-6056158,Identify as female,,1984,Match with male students only,Third Choice,Second Choice,First Choice,,X,,,,,,,Electronic Arts,Software Engineer,3-5 years,Bachelor's,,"Video games, data analysis, tool development, web development, UI, ecommerce ","Board games, writing/blogging, concerts, travel",X,
82,586,2014/08/22 - 5:32pm,0,,,,Kirsten,Adelman,Adelman.Kirsten@smile.dm,778-4963179,,Identify as female,,,Match with female students only,First Choice,Second Choice,Third Choice,,X,,,,,,,QwickMedia,Ux designer,6-10 years,Master's,,HCI,"Design, running, triathlons",X,
43,420,2014/08/05 - 11:57am,0,,,,Ki-Young,Kwong,Kwong.Ki-Young@smile.dm,778-6020950,,Identify as male,,,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,Stealth Co Canada,Sr Software Analyst,20+ years,Bachelor's,,"Realtime, Cross Platform Development, Client / Server, Compiled (C/C++,C#, Java) and Dynamic languages (Shell Scripting, Awk, Perl, Python, Ruby), ","Motorcycling, World trends and events",,
49,434,2014/08/06 - 4:30pm,0,,,,Kristine,Ross,Ross.Kristine@smile.dm,778-6014799,,Identify as female,,1953,No preference,First Choice,Second Choice,Third Choice,,,,,X,,,,Exceletrainer,IT Business Analyst and Instructor,11-15 years,Master's,,"Business Analysis, End-User Training (Business Software)","Cycling, downhill skiing, swimming, travelling, reading, cooking & entertaining",,
71,561,2014/08/18 - 11:38pm,0,,,,Kyung-soo,Park,Park.Kyung-soo@smile.dm,604-7346999,,Identify as male,,1977,No preference,First Choice,Second Choice,Third Choice,,X,,,,,,,Chinook Data Systems,Principal Software Engineer,11-15 years,Master's,,"Distributed Systems, computer graphics, image processing, computer architecture","Hiking, travel, photography, environmental issues, social issues",X,
